Feature_Name,Feature_Type
loan_amnt,Traditional-Financial
int_rate,Traditional-Financial
installment,Traditional-Financial
annual_inc,Traditional-Financial
dti,Traditional-Financial
delinq_2yrs,Traditional-Financial
open_acc,Traditional-Financial
pub_rec,Traditional-Financial
revol_bal,Traditional-Financial
revol_util,Traditional-Financial
total_acc,Traditional-Financial
term_months,Traditional-Financial
payment_to_income_ratio,Engineered-Traditional
total_interest_burden,Engineered-Traditional
credit_risk_score,Engineered-Traditional
loan_to_income_ratio,Engineered-Traditional
account_utilization,Engineered-Traditional
emp_length_years,Engineered-Traditional
grade_encoded,Engineered-Traditional
has_delinquency,Engineered-Traditional
has_public_record,Cybersecurity-Inspired
emp_length_missing,Cybersecurity-Inspired
app_edit_score,Cybersecurity-Inspired
login_irregularity_score,Cybersecurity-Inspired
device_anomaly_flag,Cybersecurity-Inspired
off_hours_application,Cybersecurity-Inspired
rush_application,Cybersecurity-Inspired
info_consistency_score,Cybersecurity-Inspired
behavioral_risk_composite,Cybersecurity-Inspired
home_ownership_MORTGAGE,One-Hot-Encoded
home_ownership_OWN,One-Hot-Encoded
home_ownership_RENT,One-Hot-Encoded
verification_status_Source Verified,One-Hot-Encoded
verification_status_Verified,One-Hot-Encoded
purpose_credit_card,One-Hot-Encoded
purpose_debt_consolidation,One-Hot-Encoded
purpose_home_improvement,One-Hot-Encoded
purpose_major_purchase,One-Hot-Encoded
purpose_other,One-Hot-Encoded
