Feature,Mean_Abs_SHAP,Type,Percentage
info_consistency_score,0.24827011122058618,Cybersecurity,40.1096601135643
app_edit_score,0.11512674033884082,Cybersecurity,18.599477811772076
behavioral_risk_composite,0.052604189960168246,Cybersecurity,8.498550910854737
grade_encoded,0.03623595934172093,Traditional,5.854156208896268
has_delinquency,0.0313409096208865,Traditional,5.063328913671749
delinq_2yrs,0.02750693816015725,Traditional,4.443925750645314
int_rate,0.022733301645107985,Traditional,3.6727135528378745
term_months,0.018703919117847228,Traditional,3.021740454056894
rush_application,0.00962720072691293,Cybersecurity,1.5553372377492949
device_anomaly_flag,0.008298463346816616,Cybersecurity,1.3406710242698212
total_interest_burden,0.007340386215986138,Traditional,1.1858873981165858
loan_to_income_ratio,0.0046732323154444685,Traditional,0.7549912427342577
off_hours_application,0.0044301670933758015,Cybersecurity,0.7157224665023088
dti,0.0029375852221642136,Traditional,0.4745861039670165
payment_to_income_ratio,0.002886091783482347,Traditional,0.46626700218930295
emp_length_years,0.0028287890324187694,Traditional,0.4570093680043721
login_irregularity_score,0.0025747804976877556,Cybersecurity,0.415972628044348
credit_risk_score,0.0024380841641897374,Traditional,0.39388844139610313
annual_inc,0.0020773590051691927,Traditional,0.33561093287285493
home_ownership_RENT,0.0019509049072486443,Traditional,0.31518144636469403
open_acc,0.001833569229691488,Traditional,0.29622510029921534
installment,0.0018138152365724032,Traditional,0.2930337135229465
home_ownership_MORTGAGE,0.0017736356780877261,Traditional,0.28654244308201293
account_utilization,0.0017643008948991907,Traditional,0.28503434780995135
verification_status_Verified,0.0016096900340335822,Traditional,0.26005595210739635
loan_amnt,0.0013917063140889828,Traditional,0.22483925657250797
total_acc,0.0007441904078647414,Traditional,0.12022882727397155
revol_util,0.0007044898888831663,Traditional,0.11381494879760404
revol_bal,0.0006710645698480189,Traditional,0.10841486991136216
verification_status_Source Verified,0.000469896426420205,Traditional,0.07591484073387768
pub_rec,0.00037304819875428713,Traditional,0.06026837618289648
emp_length_missing,0.0003662029668809414,Cybersecurity,0.059162484207061786
purpose_debt_consolidation,0.00026289823731541804,Traditional,0.04247292954973401
has_public_record,0.0002579572279398474,Traditional,0.041674677171718244
purpose_credit_card,0.00021653477832495608,Traditional,0.03498260954039408
home_ownership_OWN,6.209548158523033e-05,Traditional,0.010031931144376756
purpose_major_purchase,2.928806704913074e-05,Traditional,0.0047316787709502945
purpose_home_improvement,2.6149797500995204e-05,Traditional,0.0042246708016799766
purpose_other,2.2700003440856618e-05,Traditional,0.003667334010176262
